,Company,TypeName,Ram,OpSys,Weight,Price_euros,IPS,Touchscreen,Retina Display,Full HD,Cpu_name,Gpu_name
0,Apple,Ultrabook,8,MAC,1.37,1339.69,1,0,1,0,Intel Core i5,Intel
1,Apple,Ultrabook,8,MAC,1.34,898.94,0,0,0,0,Intel Core i5,Intel
2,HP,Notebook,8,other,1.86,575.0,0,0,0,1,Intel Core i5,Intel
3,Apple,Ultrabook,16,MAC,1.83,2537.45,1,0,1,0,Intel Core i7,AMD
4,Apple,Ultrabook,8,MAC,1.37,1803.6,1,0,1,0,Intel Core i5,Intel
5,Acer,Notebook,4,Windows,2.1,400.0,0,0,0,0,AMD,AMD
6,Apple,Ultrabook,16,MAC,2.04,2139.97,1,0,1,0,Intel Core i7,Intel
7,Apple,Ultrabook,8,MAC,1.34,1158.7,0,0,0,0,Intel Core i5,Intel
8,Asus,Ultrabook,16,Windows,1.3,1495.0,0,0,0,1,Intel Core i7,Nvidia
9,Acer,Ultrabook,8,Windows,1.6,770.0,1,0,0,1,Intel Core i5,Intel
10,HP,Notebook,4,other,1.86,393.9,0,0,0,0,Intel Core i5,Intel
11,HP,Notebook,4,other,1.86,344.99,0,0,0,1,Intel Core i3,Intel
12,Apple,Ultrabook,16,MAC,1.83,2439.97,1,0,1,0,Intel Core i7,AMD
13,Dell,Notebook,4,Windows,2.2,498.9,0,0,0,1,Intel Core i3,AMD
14,Apple,Ultrabook,8,MAC,0.92,1262.4,1,0,1,0,Others,Intel
15,Apple,Ultrabook,8,MAC,1.37,1518.55,1,0,1,0,Intel Core i5,Intel
16,Dell,Notebook,8,Windows,2.2,745.0,0,0,0,1,Intel Core i7,AMD
17,Apple,Ultrabook,16,MAC,1.83,2858.0,1,0,1,0,Intel Core i7,AMD
18,Lenovo,Notebook,8,other,2.2,499.0,0,0,0,1,Intel Core i3,Nvidia
19,Dell,Ultrabook,8,Windows,1.22,979.0,1,1,0,1,Intel Core i5,Intel
20,Asus,Netbook,2,Windows,0.98,191.9,0,0,0,0,Others,Intel
21,Lenovo,Gaming,8,Windows,2.5,999.0,1,0,0,1,Intel Core i5,Nvidia
22,HP,Notebook,4,other,1.86,258.0,0,0,0,0,AMD,AMD
23,Dell,2 in 1 Convertible,8,Windows,1.62,819.0,0,1,0,1,Intel Core i5,Intel
24,HP,Ultrabook,8,Windows,1.91,659.0,0,0,0,1,Intel Core i7,Intel
25,Dell,Notebook,4,Windows,2.3,418.64,0,0,0,0,Intel Core i3,Intel
26,Apple,Ultrabook,8,MAC,1.35,1099.0,0,0,0,0,Intel Core i5,Intel
27,Dell,Notebook,8,Windows,2.2,800.0,0,0,0,1,Intel Core i5,AMD
28,Dell,Ultrabook,8,Windows,1.88,1298.0,0,0,0,1,Intel Core i7,Intel
29,HP,Notebook,8,Windows,2.5,896.0,0,0,0,1,Intel Core i5,Nvidia
30,Other,Notebook,4,Windows,1.89,244.99,0,0,0,1,Others,Intel
31,Asus,Notebook,2,Windows,1.65,199.0,0,0,0,0,AMD,AMD
32,HP,Notebook,4,Windows,2.71,439.0,0,0,0,1,AMD,AMD
33,Dell,Ultrabook,16,Windows,1.2,1869.0,0,1,0,0,Intel Core i7,Intel
34,Apple,Ultrabook,8,MAC,1.35,998.0,0,0,0,0,Intel Core i5,Intel
35,Lenovo,Notebook,4,Windows,1.44,249.0,0,0,0,0,Others,Intel
36,Acer,Notebook,4,Linux,2.1,367.0,0,0,0,0,Intel Core i3,Intel
37,Dell,Notebook,8,Windows,2.8,979.0,1,0,0,1,Intel Core i5,AMD
38,HP,Notebook,4,Windows,1.86,488.69,0,0,0,0,Intel Core i5,Intel
39,HP,Notebook,8,Windows,2.1,879.0,0,0,0,1,Intel Core i5,Nvidia
40,Asus,Notebook,4,Linux,2.0,389.0,0,0,0,1,Intel Core i3,Intel
41,Dell,Gaming,16,Windows,2.65,1499.0,1,0,0,1,Intel Core i7,Nvidia
42,Asus,Notebook,8,Linux,2.3,522.99,0,0,0,0,Intel Core i5,Nvidia
43,Acer,Notebook,4,Windows,2.2,682.0,1,0,0,1,Intel Core i5,Intel
44,Dell,2 in 1 Convertible,12,Windows,2.77,999.0,0,1,0,1,Intel Core i5,Nvidia
45,Apple,Ultrabook,8,MAC,1.37,1419.0,1,0,1,0,Intel Core i5,Intel
46,Lenovo,Notebook,4,other,2.2,369.0,0,0,0,0,Intel Core i3,Intel
47,Asus,Gaming,8,Windows,3.2,1299.0,0,0,0,1,AMD,AMD
48,Dell,Notebook,4,Windows,2.3,639.0,0,0,0,1,Intel Core i5,AMD
49,Asus,Notebook,4,Windows,2.8,466.0,0,0,0,0,Others,Nvidia
50,Lenovo,2 in 1 Convertible,4,other,0.69,319.0,1,1,0,0,Others,Intel
51,Acer,Notebook,8,Windows,2.2,841.0,1,0,0,1,Intel Core i7,Nvidia
52,HP,Notebook,4,Windows,1.86,398.49,0,0,0,1,AMD,AMD
53,HP,Notebook,8,Windows,1.49,1103.0,0,0,0,1,Intel Core i7,Intel
54,Acer,Notebook,4,Windows,2.4,384.0,0,0,0,0,Intel Core i3,Intel
55,Dell,Notebook,8,Windows,2.13,767.8,0,0,0,1,Intel Core i7,AMD
56,HP,Notebook,4,Windows,1.91,439.0,0,0,0,1,Intel Core i3,Intel
57,Asus,Notebook,4,Windows,2.0,586.19,0,0,0,0,Intel Core i5,Intel
58,MSI,Gaming,16,Windows,2.43,2449.0,0,0,0,1,Intel Core i7,Nvidia
59,Asus,Notebook,4,Linux,2.0,415.0,0,0,0,1,Intel Core i3,Intel
60,Dell,Notebook,16,Windows,2.8,1299.0,0,0,0,1,Intel Core i7,AMD
